System,Legitimacy,Decision-making,Resource allocation,Defense,Military Technology,Information,Social integration,Succession,Adaptability,Long-Term Stewardship,Transboundary Coordination,Existential Risk Mitigation,Epistemic Governance
Indian Panchayati Raj,Decentralized Participatory Democracy,Local courts,Caste/class balancing,Standing army,Gram sabha votes,Watershed management,Secular pluralism,Election,Reform: Petro-social democracy (oil fund ethics),Village councils with gender/reservation quotas,Swiss cantons, Iroquois league,<unknown>
European Union Governance,Multilevel Governance,ECJ rulings,Brussels bureaucracy,Standing army,Qualified majority voting,Green Deal,Secularism,Appointment,Reform: Decentralized participatory democracy (village quotas),Supranational technocracy with subsidiarity principle,Holy Roman Empire, Swiss cantons,<unknown>
Post-Apartheid Ubuntu Democracy,Inclusive Constitutionalism,Constitutional Court,ANC dominance,Standing army,Truth Commission,Land reform,African humanism,Elections,Syncretism: Multilevel governance (supranational),Reconciliation-based constitutionalism with tribal elements,Canadian pluralism, Iroquois consensus,<unknown>
Zapatista Caracoles,Autonomous Municipalism,Good gov boards,Grassroots power,Revolutionary militias,Assembly consensus,Lacandon forestry,Mayan cosmology,Rotation,Reform: Inclusive constitutionalism (reconciliation),Indigenous anarchist communes with rotational leadership,Rojava, Paris Commune,<unknown>
Rwandan Unity Government,Inclusive Authoritarianism,Gacaca courts,Performance-based,Standing army,Grassroots councils,Land reform,Mixed religions,Appointment,Collapse/Rebirth: Autonomous municipalism (indigenous anarchism),Post-genocide power-sharing with gender quotas,South African reconciliation, Singaporean pragmatism,<unknown>
Ubuntu Councils,Reconciliation Democracy,Community dialogues,Social harmony,Non-violent resistance,Truth Commission,Land reform,Ubuntu philosophy,Consensus,Reform: Inclusive authoritarianism (power-sharing),Post-apartheid restorative justice through communal courts,Rwandan gacaca, Zapatista caracoles,<unknown>
Kerala People’s Planning,Participatory Socialism,Social audits,Land reform,Standing army,Gram sabhas,Backwater conservation,Secular communism,Election,Reform: Reconciliation democracy (restorative justice),Decentralized socialist governance with 40% female participation,Porto Alegre PB, Rojava communes,<unknown>
Estonian Digital Democracy,E-Government,Data embassies,Cybersecurity,Standing army,Online voting,Digital ID,Secularism,Elections,Reform: Participatory socialism (40% female inclusion),E-governance with blockchain-secured citizen participation,Singaporean tech, Athenian democracy,<unknown>
Bhutanese Gross National Happiness,Ethical Monarchy,Monk arbitration,Karma-based,Standing army,Happiness surveys,Forest conservation,Vajrayana Buddhism,Democratic transition,Reform: E-government (blockchain participation),Buddhist constitutional monarchy prioritizing ecology/culture,Swiss cantons, Ashoka's edicts,<unknown>
Bitcoin Decentralized Governance,Cryptographic Anarchy,Fork arbitration,Proof-of-work,Non-violent resistance,Hash power voting,None,Cypherpunk,Forking,Reform: Ethical monarchy (happiness metrics),Blockchain-based consensus without central authority,Medieval merchant law, Swiss cantons,<unknown>
Bolivian Plurinational State,Multinational Socialism,Community justice,Ethnic quotas,Standing army,Popular referendums,Pachamama laws,Syncretic Catholicism,Elections,Crisis Innovation: Cryptographic anarchy (consensus),Indigenous autonomies within socialist central government,Zapatista caracoles, Canadian First Nations,<unknown>
Icelandic Crowdsourced Constitution,Digital Direct Democracy,Crowdsourced drafts,Social capital,Standing army,Online forums,Geothermal ethics,Secularism,Consensus,Syncretism: Multinational socialism (indigenous autonomies),Citizen-drafted constitution via social media consensus,Chilean experiment, Athenian democracy,<unknown>
Rojava Democratic Confederalism,Libertarian Municipalism,Restorative justice,Grassroots power,Revolutionary militias,People's assemblies,Water cooperatives,Secular pluralism,Consensus,Collapse/Rebirth: Neo-liberal enclaves (autonomous zones),Kurdish feminist eco-socialism with communal councils,Spanish anarchism, Zapatista caracoles,<unknown>
Taiwanese Digital Democracy,Liquid Democracy,Fact-checkers,Digital literacy,Standing army,Pol.is voting,Cybersecurity,Secularism,Elections,Collapse/Rebirth: Libertarian municipalism (Kurdish feminism),AI-assisted policymaking with citizen participation platforms,Estonian e-gov, Swiss referendums,<unknown>
Chilean Constitutional Experiment,Participatory Constitutionalism,Indigenous councils,Social media,Standing army,Assembly debates,Glacier protection,Secularism,Elections,Crisis Innovation: Energy democracy (local councils),Grassroots constitutional convention with gender parity,Icelandic crowdsourcing, US Constitutional Convention,<unknown>
